Mouse,Movement,Movement_type,Time_start,Time_end,Duration
capwalking,1,1,2.02,3.81,1.79
capwalking,1,1,5.99,8.91,2.92
capwalking,1,1,11.648,12.918,1.27
capwalking,1,1,15.203,17.45,2.247
capwalking,1,1,62.39,66.41,4.02
capwalking,1,1,74.94,75.81,0.87
capwalking,1,1,86.24,94.6,8.36
capwalking,1,1,100.9,103.29,2.39
capwalking,1,1,107.57,111.48,3.91
capwalking,1,1,123.6,128.98,5.38
capwalking,1,1,134.51,140.2,5.69
capwalking,1,1,148.19,155,6.81
capwalking,1,1,161,163.24,2.24
capwalking,1,1,165,167.99,2.99
capwalking,1,1,170.93,172.65,1.72
capwalking,1,1,181.86,185.5,3.64
capwalking,1,1,193.3,196.08,2.78
capwalking,1,1,200.79,206.64,5.85
capwalking,1,1,230.35,232.95,2.6
capwalking,1,1,260.59,271.7,11.11
capwalking,1,1,285.43,292.01,6.58
capwalking,1,1,301.83,304.31,2.48
capwalking,1,1,308.6,311.245,2.645
capwalking,1,1,320.38,324.19,3.81
capwalking,1,1,400.17,401.55,1.38
capwalking,1,1,409.41,414.81,5.4
capwalking,1,1,428.03,438.74,10.71
capwalking,1,1,441.61,445.33,3.72
capwalking,1,1,454.87,459,4.13
capwalking,1,1,462.83,467.68,4.85
capwalking,1,1,482.07,485.11,3.04
capwalking,1,1,496.22,498.35,2.13
capwalking,1,1,510.62,512.98,2.36
capwalking,1,1,518.02,536,17.98
capwalking,1,1,545.82,551.01,5.19
capwalking,1,1,554.29,556.366,2.076
capnotwalking,0,0,0.103,2.02,1.917
capnotwalking,0,0,3.82,5.81,1.99
capnotwalking,0,0,8.9,11.621,2.721
capnotwalking,0,0,13.09,15.2,2.11
capnotwalking,0,0,17.44,62.38,44.94
capnotwalking,0,0,66.423,74.91,8.487
capnotwalking,0,0,75.84,86.2,10.36
capnotwalking,0,0,94.617,100.89,6.273
capnotwalking,0,0,103.294,107.558,4.264
capnotwalking,0,0,111.64,123.41,11.77
capnotwalking,0,0,129,134.51,5.51
capnotwalking,0,0,140.4,148.2,7.8
capnotwalking,0,0,155.1,160.91,5.81
capnotwalking,0,0,163.266,165,1.734
capnotwalking,0,0,167.99,170.93,2.94
capnotwalking,0,0,175.25,181.85,6.6
capnotwalking,0,0,185.51,193.29,7.78
capnotwalking,0,0,196.09,200.8,4.71
capnotwalking,0,0,206.64,230.35,23.71
capnotwalking,0,0,232.97,260.579,27.609
capnotwalking,0,0,271.72,285.5,13.78
capnotwalking,0,0,292.01,301.83,9.82
capnotwalking,0,0,304.31,308.5,4.19
capnotwalking,0,0,311.245,320.35,9.105
capnotwalking,0,0,324,400.17,76.17
capnotwalking,0,0,401.55,409.36,7.81
capnotwalking,0,0,414.82,418.03,3.21
capnotwalking,0,0,421.11,428.02,6.91
capnotwalking,0,0,438.776,441.676,2.9
capnotwalking,0,0,445.4,454.86,9.46
capnotwalking,0,0,459.086,462.986,3.9
capnotwalking,0,0,467.8,482.1,14.3
capnotwalking,0,0,485.12,492.12,7
capnotwalking,0,0,494.39,496.17,1.78
capnotwalking,0,0,498.36,510.61,12.25
capnotwalking,0,0,512.975,518.018,5.043
capnotwalking,0,0,536.1,545.8,9.7
capnotwalking,0,0,551.1,554.29,3.19
caprearing,1,2,0.2,0.7,0.5
caprearing,1,2,9.7,13.09,3.39
caprearing,1,2,66.42,72.6,6.18
caprearing,1,2,82.4,83.43,1.03
caprearing,1,2,97.31,99.32,2.01
caprearing,1,2,163.23,164.2,0.97
caprearing,1,2,172.65,175.25,2.6
caprearing,1,2,308.51,309.82,1.31
caprearing,1,2,418.24,420.26,2.02
caprearing,1,2,438.74,441.37,2.63
caprearing,1,2,445.69,448.27,2.58
caprearing,1,2,459.47,462.74,3.27
caprearing,1,2,470.49,472.63,2.14
caprearing,1,2,480.7,481.77,1.07
caprearing,1,2,492.15,494.35,2.2
caprearing,1,2,514.14,517.01,2.87
caprearing,1,2,536.31,539,2.69
caprearing,1,2,551.07,551.83,0.76
capgrooming,1,3,103.44,103.74,0.3
capgrooming,1,3,178.77,180.28,1.51
capgrooming,1,3,206.64,226.39,19.75
capgrooming,1,3,284.01,285.09,1.08
capgrooming,1,3,324.18,400.4,76.22
capgrooming,1,3,522.004,522.796,0.792
capsniffing,1,4,2.9,6.1,3.2
capsniffing,1,4,36.88,39.51,2.63
capsniffing,1,4,41.5,57,15.5
capsniffing,1,4,119.3,121.634,2.334
capsniffing,1,4,128.9,136.7,7.8
capsniffing,1,4,148.1,153.1,5
capsniffing,1,4,156,160.2,4.2
capsniffing,1,4,165.9,170.1,4.2
capsniffing,1,4,183.9,192.5,8.6
capsniffing,1,4,227.636,233,5.364
capsniffing,1,4,259.574,267.636,8.062
capsniffing,1,4,274.61,284,9.39
capsniffing,1,4,285.2,291.324,6.124
capsniffing,1,4,311.3,314.71,3.41
capsniffing,1,4,318.488,321.909,3.421
capsniffing,1,4,403.597,408.207,4.61
capsniffing,1,4,409.782,413.155,3.373
capsniffing,1,4,414.775,417.974,3.199
capsniffing,1,4,428.623,432.818,4.195
capsniffing,1,4,434.012,436.61,2.598
capsniffing,1,4,447.691,448.743,1.052
capsniffing,1,4,466.9,475.3,8.4
capsniffing,1,4,484.415,487.012,2.597
capsniffing,1,4,491.137,494.15,3.013
capsniffing,1,4,496.159,501.778,5.619
capsniffing,1,4,504.438,514.761,10.323
capsniffing,1,4,521.39,522,0.61
capsniffing,1,4,522.792,525.823,3.031
capsniffing,1,4,528.473,531.287,2.814
capsniffing,1,4,531.65,535.004,3.354
capsniffing,1,4,551.896,552.995,1.099
caplicking,1,6,18.14,21.06,2.92
caplicking,1,6,298.272,300.09,1.818
caplicking,1,6,324.954,326.272,1.318
caplicking,1,6,328.863,329.818,0.955
capallosniffing,1,5,41.05,42.512,1.462
capallosniffing,1,5,58.365,60.219,1.854
capallosniffing,1,5,149.405,150.103,0.698
capallosniffing,1,5,168.623,169.61,0.987
capallosniffing,1,5,260.142,262.071,1.929
capallosniffing,1,5,295.594,296.231,0.637
capallosniffing,1,5,397.2,399.01,1.81
capallosniffing,1,5,399.362,399.797,0.435
capallosniffing,1,5,414.792,417.806,3.014
capallosniffing,1,5,428.545,436.59,8.045
capallosniffing,1,5,448.454,449.045,0.591
capallosniffing,1,5,450.449,451.51,1.061
capallosniffing,1,5,496,497.51,1.51
capallosniffing,1,5,508.493,512.04,3.547
capallosniffing,1,5,521.136,522.227,1.091
capallosniffing,1,5,522.734,525.816,3.082
capallogrroming,1,7,149.753,150.025,0.272
capallogrroming,1,7,397.202,398.811,1.609
capallogrroming,1,7,431.1,432.576,1.476
capallolicking,1,6,399.912,400.258,0.346