Mouse,Movement,Time_start,Time_end,Duration
bywalking,1,4.5,6.4,1.9
bywalking,1,13.1,15,1.9
bywalking,1,29.1,32.6,3.5
bywalking,1,47.9,49.3,1.4
bywalking,1,64.025,65.405,1.38
bywalking,1,87.782,88.608,0.826
bywalking,1,91.2,94,2.8
bywalking,1,129.318,132.78,3.462
bywalking,1,140.203,147.566,7.363
bywalking,1,150.3,151.533,1.233
bywalking,1,162.966,166.9,3.934
bywalking,1,181.033,187.066,6.033
bywalking,1,197.766,200.533,2.767
bywalking,1,249.799,250.666,0.867
bywalking,1,271.409,272.218,0.809
bywalking,1,275.032,276.77,1.738
bywalking,1,287.229,288.409,1.18
bywalking,1,306.264,313,6.736
bywalking,1,325.623,327.594,1.971
bywalking,1,334.223,334.594,0.371
bywalking,1,343.927,345.251,1.324
bywalking,1,355.608,359.043,3.435
bywalking,1,361.811,374.217,12.406
bywalking,1,401.86,411,9.14
bywalking,1,416.608,420,3.392
bywalking,1,424.188,425.014,0.826
bywalking,1,426.608,427.395,0.787
bywalking,1,430.927,433,2.073
bywalking,1,446.405,447.811,1.406
bywalking,1,455.014,459.623,4.609
bywalking,1,475.613,476.61,0.997
bywalking,1,484.405,486.405,2
bywalking,1,486.826,488.623,1.797
bywalking,1,502.01,504.391,2.381
bywalking,1,505.826,510.608,4.782
bywalking,1,515.02,516.806,1.786
bywalking,1,521.608,522.594,0.986
bywalking,1,528.602,529.808,1.206
bywalking,1,532.623,536.014,3.391
bywalking,1,539.014,541.594,2.58
bywalking,1,549.904,551,1.096
bywalking,1,553.205,554.007,0.802
bywalking,1,577.933,582.352,4.419
bywalking,1,600.036,603.875,3.839
bywalking,1,611.904,616.035,4.131
bywalking,1,616.631,617.608,0.977
bywalking,1,623.28,630.578,7.298
bywalking,1,639.782,641.478,1.696
bywalking,1,653.543,654.631,1.088
bywalking,1,657.403,660.623,3.22
bywalking,1,664.842,668.405,3.563
bywalking,1,674.438,677.702,3.264
bywalking,1,681.192,683.653,2.461
bywalking,1,694.23,696.538,2.308
bywalking,1,754.999,758.594,3.595
bywalking,1,780.029,783.689,3.66
bywalking,1,787.538,789.115,1.577
bywalking,1,816.115,817.038,0.923
bywalking,1,821.384,823.038,1.654
bywalking,1,826.538,830.076,3.538
bywalking,1,834.7,838.533,3.833
bywalking,1,853.777,870.8,17.023
bywalking,1,874.511,876.066,1.555
bywalking,1,886.511,891.133,4.622
bywalking,1,900.088,905.002,4.914
bywalking,1,910.016,914.405,4.389
bywalking,1,921.235,924.188,2.953
bywalking,1,930.088,932.382,2.294
bywalking,1,938.117,944.014,5.897
bywalking,1,954.764,959.382,4.618
bywalking,1,988.03,992.014,3.984
bywalking,1,994.735,995.735,1
bywalking,1,1000.53,1002.979,2.449
bywalking,1,1009.02,1013.53,4.51
bywalking,1,1017.02,1017.673,0.653
bywalking,1,1031.709,1055.795,24.086
bywalking,1,1059.492,1070.014,10.522
bywalking,1,1076.608,1086.014,9.406
bywalking,1,1088.594,1091.637,3.043
bywalking,1,1100.6,1106.826,6.226
bywalking,1,1118.6,1121.53,2.93
bywalking,1,1129.04,1130.775,1.735
bywalking,1,1137.591,1144,6.409
bywalking,1,1157.183,1163.666,6.483
bywalking,1,1166.811,1169.608,2.797
bywalking,1,1176.265,1178.632,2.367
bywalking,1,1183.51,1188.102,4.592
bywalking,1,1197.202,1203.029,5.827
bywalking,1,1205,1207.014,2.014
bywalking,1,1224.055,1226.637,2.582
bywalking,1,1253.608,1254.246,0.638
bywalking,1,1275.739,1277.202,1.463
bywalking,1,1336.035,1339.405,3.37
bywalking,1,1438.623,1444.623,6
bywalking,1,1455,1457.608,2.608
bywalking,1,1460.811,1462.42,1.609
bywalking,1,1481.608,1483.014,1.406
bywalking,1,1492.029,1496.029,4
bywalking,1,1528.032,1533.014,4.982
bywalking,1,1544.02,1547.991,3.971
bywalking,1,1554.594,1557.623,3.029
bywalking,1,1566.012,1580.014,14.002
bywalking,1,1583.811,1587.71,3.899
bynotwalking,0,0.2,4.507,4.307
bynotwalking,0,6.403,13.086,6.683
bynotwalking,0,15.014,29.666,14.652
bynotwalking,0,33.092,47.913,14.821
bynotwalking,0,49.318,64.014,14.696
bynotwalking,0,65.507,87.768,22.261
bynotwalking,0,88.623,91.246,2.623
bynotwalking,0,94.09,128.863,34.773
bynotwalking,0,132.78,140.233,7.453
bynotwalking,0,147.6,150.266,2.666
bynotwalking,0,151.533,162.066,10.533
bynotwalking,0,166.933,181.033,14.1
bynotwalking,0,187.05,197.766,10.716
bynotwalking,0,200.533,249.833,49.3
bynotwalking,0,250.699,271.4,20.701
bynotwalking,0,272.218,275.032,2.814
bynotwalking,0,276.754,287.229,10.475
bynotwalking,0,288.47,306.264,17.794
bynotwalking,0,313.013,325.647,12.634
bynotwalking,0,327.649,334.228,6.579
bynotwalking,0,334.623,343.929,9.306
bynotwalking,0,345.26,355.614,10.354
bynotwalking,0,359.052,361.806,2.754
bynotwalking,0,374.231,401.877,27.646
bynotwalking,0,411.004,416.614,5.61
bynotwalking,0,420.001,424.194,4.193
bynotwalking,0,425.019,426.603,1.584
bynotwalking,0,427.39,430.92,3.53
bynotwalking,0,433.01,446.41,13.4
bynotwalking,0,447.82,455.02,7.2
bynotwalking,0,459.63,475.6,15.97
bynotwalking,0,476.6,484.41,7.81
bynotwalking,0,486.41,486.82,0.41
bynotwalking,0,488.62,502.01,13.39
bynotwalking,0,504.39,505.83,1.44
bynotwalking,0,510.614,515.01,4.396
bynotwalking,0,516.816,528.617,11.801
bynotwalking,0,529.808,539.007,9.199
bynotwalking,0,541.6,549.904,8.304
bynotwalking,0,551.007,553.205,2.198
bynotwalking,0,554.007,578.102,24.095
bynotwalking,0,582.11,600.029,17.919
bynotwalking,0,603.88,611.882,8.002
bynotwalking,0,616.262,616.911,0.649
bynotwalking,0,617.578,623.017,5.439
bynotwalking,0,630.842,639.789,8.947
bynotwalking,0,641.973,653.614,11.641
bynotwalking,0,654.631,657.421,2.79
bynotwalking,0,660.625,664.807,4.182
bynotwalking,0,668.421,674.438,6.017
bynotwalking,0,677.73,680.884,3.154
bynotwalking,0,683.384,694.153,10.769
bynotwalking,0,696.846,755.038,58.192
bynotwalking,0,759.576,779.999,20.423
bynotwalking,0,783.689,787.244,3.555
bynotwalking,0,788.73,816.1,27.37
bynotwalking,0,817.038,821.384,4.346
bynotwalking,0,823.038,826.884,3.846
bynotwalking,0,829.615,834.666,5.051
bynotwalking,0,838.511,853.822,15.311
bynotwalking,0,870.8,874.466,3.666
bynotwalking,0,876.044,886.498,10.454
bynotwalking,0,891.355,900.022,8.667
bynotwalking,0,904.953,910.058,5.105
bynotwalking,0,914.117,921.323,7.206
bynotwalking,0,924.22,930,5.78
bynotwalking,0,933.111,938.058,4.947
bynotwalking,0,944.088,954.764,10.676
bynotwalking,0,960.529,988.058,27.529
bynotwalking,0,992.029,994.823,2.794
bynotwalking,0,995.653,1000.53,4.877
bynotwalking,0,1002.53,1009.122,6.592
bynotwalking,0,1013.53,1017,3.47
bynotwalking,0,1017.734,1031.8,14.066
bynotwalking,0,1055.734,1059.51,3.776
bynotwalking,0,1069.985,1076.571,6.586
bynotwalking,0,1086.081,1088.524,2.443
bynotwalking,0,1091.53,1100.51,8.98
bynotwalking,0,1107.004,1118.489,11.485
bynotwalking,0,1121.551,1129,7.449
bynotwalking,0,1130.789,1137.551,6.762
bynotwalking,0,1144.04,1157.163,13.123
bynotwalking,0,1163.673,1166.857,3.184
bynotwalking,0,1169.612,1176.244,6.632
bynotwalking,0,1178.673,1183.53,4.857
bynotwalking,0,1188.102,1197.183,9.081